schoolid,math,ses,mses,sector
3,2.81,-0.82,-0.42,0
3,7.27,-1.41,-0.42,0
3,8.9,-1.26,-0.42,0
3,8.77,-0.61,-0.42,0
3,12.18,1.24,-0.42,0
3,3.05,-0.69,-0.42,0
3,6.83,-0.83,-0.42,0
3,3.26,-0.7,-0.42,0
3,6.36,-0.5,-0.42,0
3,11.59,-0.66,-0.42,0
3,8.08,-0.78,-0.42,0
3,19.82,-0.1,-0.42,0
3,14.24,-1.03,-0.42,0
3,1.17,-0.42,-0.42,0
3,-1.13,-0.41,-0.42,0
3,10.84,0.35,-0.42,0
3,6.78,-1.63,-0.42,0
3,9.45,-0.7,-0.42,0
3,6,-0.17,-0.42,0
3,4.77,-0.72,-0.42,0
3,14.4,-1.01,-0.42,0
3,6.59,-0.18,-0.42,0
3,11.03,0.39,-0.42,0
3,7.1,-0.36,-0.42,0
3,12.72,-0.63,-0.42,0
3,5.52,-0.04,-0.42,0
3,7.35,0.97,-0.42,0
3,7.1,0.25,-0.42,0
3,10,0.33,-0.42,0
3,10.72,-0.31,-0.42,0
4,13.23,0.42,0.53,1
4,13.95,0.56,0.53,1
4,13.76,-0.06,0.53,1
4,13.97,0.95,0.53,1
4,23.43,0.62,0.53,1
4,9.16,0.83,0.53,1
4,23.82,1.51,0.53,1
4,16,0.62,0.53,1
4,16.04,0.33,0.53,1
4,24.99,0.44,0.53,1
4,15.66,0.58,0.53,1
4,16.26,1.1,0.53,1
4,10.55,0.89,0.53,1
4,17.62,0.8,0.53,1
4,21.12,-0.57,0.53,1
4,6.49,0.52,0.53,1
4,2.51,0.1,0.53,1
4,22.39,-0.35,0.53,1
4,21.49,0.55,0.53,1
4,22.68,0.68,0.53,1
5,12.86,0.88,0.35,1
5,8.96,0.93,0.35,1
5,4.76,-0.16,0.35,1
5,21.41,0.36,0.35,1
5,20.75,1.37,0.35,1
5,18.36,0.13,0.35,1
5,14.75,0.13,0.35,1
5,11.29,-0.01,0.35,1
5,10.49,-0.11,0.35,1
5,10.96,0.61,0.35,1
5,21.41,0.48,0.35,1
5,23.36,0.5,0.35,1
5,12.28,0.48,0.35,1
5,9.26,0.47,0.35,1
5,11.5,-0.58,0.35,1
5,20.04,1.15,0.35,1
5,21.41,-0.29,0.35,1
5,23.74,0.94,0.35,1
5,11.03,0.72,0.35,1
5,17.2,-0.11,0.35,1
5,10.66,1.46,0.35,1
5,7.03,-0.03,0.35,1
5,13.68,0.7,0.35,1
5,13.37,0.08,0.35,1
5,10.12,-0.11,0.35,1
5,10.39,0.32,0.35,1
5,6.97,0.3,0.35,1
5,11.06,-0.1,0.35,1
5,11.53,-0.85,0.35,1
5,8.25,-1.25,0.35,1
5,7.14,0.12,0.35,1
5,3.22,0.27,0.35,1
5,15.78,0.58,0.35,1
5,17.25,0.64,0.35,1
5,9.34,0.95,0.35,1
5,15.56,-0.26,0.35,1
5,8.38,0.49,0.35,1
5,11.62,0.99,0.35,1
5,4.81,0.83,0.35,1
5,17.87,-0.07,0.35,1
5,8.06,-0.09,0.35,1
5,11.79,0.97,0.35,1
5,18.94,0.54,0.35,1
5,20.26,0.13,0.35,1
5,10.07,-0.01,0.35,1
5,20.24,0.81,0.35,1
5,4.51,1.12,0.35,1
5,18.83,0.06,0.35,1
6,-1.35,0.03,-0.01,0
6,8.05,-1.09,-0.01,0
6,15.66,0.37,-0.01,0
6,11.65,-0.57,-0.01,0
6,11.63,-0.33,-0.01,0
6,18.69,-0.02,-0.01,0
6,-0.83,-1.21,-0.01,0
6,7.87,-0.1,-0.01,0
6,18.12,0.94,-0.01,0
6,3.79,-1.41,-0.01,0
6,11.03,0.12,-0.01,0
6,7.56,0.36,-0.01,0
6,3.47,-0.71,-0.01,0
6,15.04,0.25,-0.01,0
6,10.18,0.31,-0.01,0
6,2.93,-0.68,-0.01,0
6,8.44,-0.15,-0.01,0
6,7.52,-0.17,-0.01,0
6,18.74,1.09,-0.01,0
6,10.19,0.23,-0.01,0
6,16.29,0.42,-0.01,0
6,10.65,1.28,-0.01,0
6,10.3,-0.25,-0.01,0
6,17.81,0.95,-0.01,0
6,14.65,-0.04,-0.01,0
6,17.19,-0.4,-0.01,0
6,8.69,0.16,-0.01,0
6,21.14,0.68,-0.01,0
6,16.5,-0.67,-0.01,0
6,14.59,-0.04,-0.01,0
7,16.66,0.32,-0.01,0
7,-2.16,0.21,-0.01,0
7,0.09,0.68,-0.01,0
7,18.8,-0.15,-0.01,0
7,2.41,-0.47,-0.01,0
7,16.76,0.84,-0.01,0
7,18.95,0.07,-0.01,0
7,10.59,0.33,-0.01,0
7,15.56,-0.86,-0.01,0
7,23.42,0.9,-0.01,0
7,0.33,1.24,-0.01,0
7,-2,-0.74,-0.01,0
7,24.04,0.36,-0.01,0
7,-2.66,0.71,-0.01,0
7,7.6,0.45,-0.01,0
7,5.8,-0.6,-0.01,0
7,3.93,-1.03,-0.01,0
7,8.27,-0.34,-0.01,0
7,1.34,-0.95,-0.01,0
7,16.45,0.29,-0.01,0
7,2.88,-1.22,-0.01,0
7,20.93,0.49,-0.01,0
7,22.09,1.15,-0.01,0
7,7.65,-0.76,-0.01,0
7,8.08,-0.3,-0.01,0
7,5.5,-0.48,-0.01,0
7,9,0.19,-0.01,0
7,12.06,-0.74,-0.01,0
8,12.91,0.81,0.72,1
8,18.5,1.33,0.72,1
8,20.32,-0.34,0.72,1
8,22.68,1.08,0.72,1
8,14.2,0.54,0.72,1
8,24.04,0.38,0.72,1
8,19.57,0.59,0.72,1
8,22.18,0.85,0.72,1
8,16.68,-0.37,0.72,1
8,23.33,1.02,0.72,1
8,16.39,0.71,0.72,1
8,23.03,0.27,0.72,1
8,18.59,1.18,0.72,1
8,15.25,-0.59,0.72,1
8,20.73,1.28,0.72,1
8,20.45,0.94,0.72,1
8,23.57,1.51,0.72,1
8,17.57,0.22,0.72,1
8,24.99,0.99,0.72,1
8,24.42,1.36,0.72,1
8,11.48,0.48,0.72,1
8,24.81,1.29,0.72,1
8,22.09,1.07,0.72,1
8,18.72,0.56,0.72,1
8,23.39,-0.22,0.72,1
8,15.99,1.51,0.72,1
8,13.25,0.77,0.72,1
8,24.81,0.95,0.72,1
8,22.09,1.39,0.72,1
8,24.48,1,0.72,1
8,16.72,0.93,0.72,1
8,20.63,-0.46,0.72,1
8,14.54,-0.2,0.72,1
8,19.03,0.95,0.72,1
8,18.73,1.07,0.72,1
9,24.13,0.22,0.57,1
9,18.77,-0.08,0.57,1
9,21.8,1.51,0.57,1
9,9.56,0.21,0.57,1
9,15.13,0.79,0.57,1
9,22.39,1.34,0.57,1
9,22.58,0.24,0.57,1
9,18.76,-0.3,0.57,1
9,18.3,-1.04,0.57,1
9,15.88,0.68,0.57,1
9,20.42,0.8,0.57,1
9,23.07,0.95,0.57,1
9,13.12,1,0.57,1
9,18.84,1.14,0.57,1
9,17.5,0.48,0.57,1
9,15.62,1.51,0.57,1
9,11,0.24,0.57,1
9,17.1,1.22,0.57,1
9,21.56,-0.3,0.57,1
9,19.42,-0.34,0.57,1
9,18.47,1.04,0.57,1
9,22.87,0.67,0.57,1
9,14.14,0.73,0.57,1
9,23.27,0.82,0.57,1
9,13.47,0.36,0.57,1
9,17.47,-0.32,0.57,1
9,16.04,0.68,0.57,1
9,22.46,0.71,0.57,1
9,18.98,0.54,0.57,1
9,12.54,0.25,0.57,1
9,16.57,0.48,0.57,1
9,22.59,-0.03,0.57,1
9,16.89,0.25,0.57,1
9,22.99,0.7,0.57,1
9,6.8,0.21,0.57,1
9,5.51,0.34,0.57,1
9,24.48,1.34,0.57,1
9,18.83,1.51,0.57,1
9,20.27,1.21,0.57,1
9,24.99,1.12,0.57,1
9,15.06,0.27,0.57,1
9,20.82,0.78,0.57,1
9,18.33,-0.02,0.57,1
9,18.14,0.77,0.57,1
10,12.96,0.04,0.68,0
10,24.55,1.28,0.68,0
10,13.31,1.12,0.68,0
10,16.93,1.17,0.68,0
10,3.8,-1.11,0.68,0
10,14.58,0.82,0.68,0
10,18.72,0.48,0.68,0
10,12.6,0.9,0.68,0
10,17.33,1.02,0.68,0
10,15.92,0.6,0.68,0
10,23.09,1.27,0.68,0
10,18.26,1.35,0.68,0
10,23.52,1.42,0.68,0
10,14.16,-0.11,0.68,0
10,18,-0.36,0.68,0
10,18.86,1.2,0.68,0
10,22.18,-0.78,0.68,0
10,24.99,1.1,0.68,0
10,20.93,1.01,0.68,0
10,22.46,1.26,0.68,0
10,18.32,1.39,0.68,0
10,2.9,-0.26,0.68,0
10,21.01,0.93,0.68,0
10,18.47,1.06,0.68,0
10,24.48,1.21,0.68,0
10,18.47,0.98,0.68,0
10,18.83,0.46,0.68,0
10,18.11,0.53,0.68,0
10,22.69,1.06,0.68,0
10,-0.34,0.17,0.68,0
10,21.09,0.49,0.68,0
10,-2.83,-0.67,0.68,0
10,17.48,1.26,0.68,0
11,1.97,0.16,-0.66,1
11,7.72,-0.76,-0.66,1
11,19.04,-0.71,-0.66,1
11,20.13,-0.82,-0.66,1
11,22.29,-1.92,-0.66,1
11,14.28,-0.95,-0.66,1
11,10.19,-0.8,-0.66,1
11,9.61,-1.46,-0.66,1
11,6.13,-0.16,-0.66,1
11,23.82,-0.38,-0.66,1
11,6.34,-1.07,-0.66,1
11,9.44,-0.81,-0.66,1
11,8.17,-1.65,-0.66,1
11,4.31,-0.29,-0.66,1
11,6.99,-0.33,-0.66,1
11,21.45,-0.5,-0.66,1
11,9.17,-0.16,-0.66,1
11,9.63,-0.73,-0.66,1
11,0.72,-0.95,-0.66,1
11,3.12,-0.73,-0.66,1
11,23.07,-1.51,-0.66,1
11,4.52,-0.09,-0.66,1
11,5.34,-0.64,-0.66,1
11,4.1,-0.36,-0.66,1
11,15.79,-0.66,-0.66,1
11,1.98,-0.96,-0.66,1
11,2.69,-1.21,-0.66,1
11,13.81,-0.38,-0.66,1
11,7.96,-0.92,-0.66,1
11,2.14,0.22,-0.66,1
11,6.04,0.31,-0.66,1
11,18,-0.49,-0.66,1
11,20.79,0.3,-0.66,1
11,9.91,-0.87,-0.66,1
11,5.19,-0.71,-0.66,1
11,7.77,-1.18,-0.66,1
11,12.07,-0.5,-0.66,1
11,15.1,0.03,-0.66,1
11,11.25,-1.32,-0.66,1
11,1.28,-1.95,-0.66,1
11,16.98,-0.74,-0.66,1
11,8.76,-0.56,-0.66,1
11,6.79,-0.52,-0.66,1
11,12.28,-1.1,-0.66,1
11,11.48,-0.78,-0.66,1
11,9.07,-1.07,-0.66,1
11,9.47,-0.39,-0.66,1
11,12.09,0.22,-0.66,1
11,16.53,0.11,-0.66,1
11,6.33,-0.53,-0.66,1
11,10.39,-0.4,-0.66,1
11,8.16,-0.36,-0.66,1
11,18.8,-0.6,-0.66,1
11,22.58,-1.71,-0.66,1
11,16.1,-0.27,-0.66,1
11,5.32,-2.06,-0.66,1
11,3.82,0.4,-0.66,1
12,14.15,-0.18,0.17,1
12,3.98,-0.11,0.17,1
12,3.85,0.26,0.17,1
12,5.24,-0.36,0.17,1
12,9.35,0.98,0.17,1
12,23.77,0.46,0.17,1
12,22.84,-0.21,0.17,1
12,1.61,0.81,0.17,1
12,19.27,-0.39,0.17,1
12,17.19,0.28,0.17,1
12,16.29,0.01,0.17,1
12,7.11,0.39,0.17,1
12,20.71,-1.07,0.17,1
12,18.17,0.66,0.17,1
12,21.95,0,0.17,1
12,-2.83,-0.39,0.17,1
12,20.25,1.22,0.17,1
12,21.75,-0.37,0.17,1
12,16.34,-0.59,0.17,1
12,16.06,0.64,0.17,1
12,11.72,0.89,0.17,1
12,19.4,1.15,0.17,1
12,2.19,-0.52,0.17,1
12,23.2,0,0.17,1
12,12.76,0.2,0.17,1
12,14.08,1.51,0.17,1
12,22.49,-0.24,0.17,1
12,22.71,0.02,0.17,1
12,11.03,0.56,0.17,1
12,18.78,-0.66,0.17,1
12,24.11,0.35,0.17,1
12,23,0.7,0.17,1
12,8.14,-0.59,0.17,1
12,10.71,0.15,0.17,1
12,12.59,-0.22,0.17,1
12,14.73,0.93,0.17,1
12,22.4,1.31,0.17,1
12,16.3,0.35,0.17,1
12,16.19,-0.75,0.17,1
12,7.28,0.65,0.17,1
12,14.81,0.65,0.17,1
12,-0.2,0.04,0.17,1
12,17.97,-0.81,0.17,1
12,24.25,1.34,0.17,1
12,6.95,1.51,0.17,1
12,17.79,0.49,0.17,1
12,8.86,0.15,0.17,1
12,10.35,-0.82,0.17,1
12,9.44,-0.92,0.17,1
12,5,1.07,0.17,1
12,7.87,0.25,0.17,1
12,17.01,-0.55,0.17,1
12,16.26,0.07,0.17,1
12,0.47,-1.41,0.17,1
12,18.89,0.05,0.17,1
12,24.81,-0.12,0.17,1
12,15.25,1.21,0.17,1
12,14.96,-0.27,0.17,1
12,12.51,-0.25,0.17,1
12,21.85,0.63,0.17,1
12,20.84,-0.16,0.17,1
12,5.42,-0.21,0.17,1
13,5.61,-0.68,-0.46,0
13,18.35,-0.16,-0.46,0
13,5.95,-0.47,-0.46,0
13,-1.46,-0.15,-0.46,0
13,4.09,-0.93,-0.46,0
13,10.26,-0.22,-0.46,0
13,21.79,0.66,-0.46,0
13,1.37,-0.23,-0.46,0
13,1.73,-0.37,-0.46,0
13,5.09,0.34,-0.46,0
13,17.57,0.69,-0.46,0
13,11.21,-0.9,-0.46,0
13,6.02,-0.58,-0.46,0
13,6.39,-1.18,-0.46,0
13,14.68,-1.61,-0.46,0
13,11.87,-1.05,-0.46,0
13,2.4,0.38,-0.46,0
13,2.04,-0.96,-0.46,0
13,11.69,0.43,-0.46,0
13,-0.82,-1.81,-0.46,0
13,6.72,-1.07,-0.46,0
13,13.72,-0.01,-0.46,0
13,21.91,0.22,-0.46,0
13,-2.2,-0.5,-0.46,0
13,8.52,-0.26,-0.46,0
13,1.68,-1.79,-0.46,0
13,-1.74,-0.65,-0.46,0
13,6.8,-0.18,-0.46,0
13,4.18,-1.08,-0.46,0
13,7.71,-0.4,-0.46,0
13,5.35,0.83,-0.46,0
13,0.26,-0.68,-0.46,0
13,7.98,-0.35,-0.46,0
13,9.9,0.19,-0.46,0
13,2.5,-1.47,-0.46,0
13,23.54,0.36,-0.46,0
13,13.57,-0.33,-0.46,0
13,21.42,-0.15,-0.46,0
13,3.68,-0.94,-0.46,0
13,4.86,-0.02,-0.46,0
13,14.06,0.84,-0.46,0
13,1.67,-1.6,-0.46,0
13,8.4,-0.22,-0.46,0
13,10.96,-1.07,-0.46,0
13,11.96,-0.63,-0.46,0
13,1.65,-1.07,-0.46,0
13,4.27,-1.12,-0.46,0
13,5.38,-0.23,-0.46,0
13,6.67,0.28,-0.46,0
13,8.53,-1.82,-0.46,0
13,5.68,0.54,-0.46,0
13,2.73,-1.72,-0.46,0
13,7.88,0.1,-0.46,0
14,4.21,-0.16,-0.7,0
14,10.52,-0.66,-0.7,0
14,5.57,0.62,-0.7,0
14,4.06,-1.75,-0.7,0
14,9.83,0.23,-0.7,0
14,-0.54,-0.37,-0.7,0
14,7.03,-0.39,-0.7,0
14,-1.44,-1.24,-0.7,0
14,3.77,-0.97,-0.7,0
14,6.69,-0.5,-0.7,0
14,-2.83,-0.03,-0.7,0
14,1.74,-1.69,-0.7,0
14,4.81,-0.65,-0.7,0
14,7.72,-0.69,-0.7,0
14,3.6,-1.41,-0.7,0
14,24.99,0.74,-0.7,0
14,17.62,-1.95,-0.7,0
14,18.05,-0.69,-0.7,0
14,7.14,-1.52,-0.7,0
14,2.2,-0.76,-0.7,0
14,6.07,-1.28,-0.7,0
14,11.61,-1.55,-0.7,0
14,-1.21,-0.71,-0.7,0
14,14.54,0.24,-0.7,0
14,-2.37,-1.75,-0.7,0
14,20.39,0.36,-0.7,0
14,5.87,-0.57,-0.7,0
15,14.45,0.13,0.52,1
15,20.46,0.38,0.52,1
15,22.83,1.08,0.52,1
15,16.8,-0.54,0.52,1
15,10,0.99,0.52,1
15,23.48,-0.59,0.52,1
15,17.99,0.82,0.52,1
15,14.63,0.7,0.52,1
15,16.67,1.01,0.52,1
15,14.17,0.6,0.52,1
15,20.12,-0.3,0.52,1
15,4.81,-0.52,0.52,1
15,22.11,0.59,0.52,1
15,21.12,0.38,0.52,1
15,10.48,0.15,0.52,1
15,21.03,-0.09,0.52,1
15,24.46,0.2,0.52,1
15,0.9,-0.28,0.52,1
15,13.83,-0.51,0.52,1
15,23.35,1.51,0.52,1
15,22.22,1.12,0.52,1
15,7.87,1.51,0.52,1
15,14.8,-0.07,0.52,1
15,11.59,0.46,0.52,1
15,7.3,0.36,0.52,1
15,21.56,1.08,0.52,1
15,18.39,1.51,0.52,1
15,23.06,0.8,0.52,1
15,12.15,0.27,0.52,1
15,24.25,1.15,0.52,1
15,18.53,1.12,0.52,1
15,4.94,-0.14,0.52,1
15,7.66,0.29,0.52,1
15,16.43,0.27,0.52,1
15,24.48,-0.14,0.52,1
15,22.59,1.29,0.52,1
15,18.19,1.42,0.52,1
15,15.6,0.95,0.52,1
15,11.04,0,0.52,1
15,12.92,0.53,0.52,1
15,6.99,1.51,0.52,1
15,24.48,1.01,0.52,1
15,8.61,-0.38,0.52,1
15,12.15,0.63,0.52,1
15,21.57,0.89,0.52,1
15,17.93,1.29,0.52,1
15,-1.6,0.28,0.52,1
15,23.23,0.1,0.52,1
15,10.26,1.01,0.52,1
15,20.19,-0.05,0.52,1
15,16.31,1.01,0.52,1
15,17.13,0.41,0.52,1
15,20.66,-0.19,0.52,1
16,12.17,0.48,0.25,0
16,18.48,0.27,0.25,0
16,7.89,-1.29,0.25,0
16,8.65,0.76,0.25,0
16,17.34,0.64,0.25,0
16,8.36,1.17,0.25,0
16,13.91,0.18,0.25,0
16,23.1,0.97,0.25,0
16,7.54,-0.03,0.25,0
16,23.29,1.02,0.25,0
16,14.59,0.89,0.25,0
16,22.05,-0.02,0.25,0
16,12.5,-0.48,0.25,0
16,23.93,1.51,0.25,0
16,4.61,-0.14,0.25,0
16,15.32,-0.72,0.25,0
16,5.69,-0.74,0.25,0
16,18.64,-0.15,0.25,0
16,17.06,0.89,0.25,0
16,19.39,0.53,0.25,0
16,17.42,-0.18,0.25,0
16,20.66,-0.12,0.25,0
16,22.59,0.31,0.25,0
16,16,-0.26,0.25,0
16,7.33,0.68,0.25,0
16,12.28,0.33,0.25,0
16,8.13,1.36,0.25,0
16,4.97,-0.97,0.25,0
17,16.39,0.8,0.69,0
17,24.99,1.07,0.69,0
17,21.08,0.7,0.69,0
17,22.34,0.92,0.69,0
17,12.4,1.37,0.69,0
17,24.04,0.41,0.69,0
17,23.86,1.16,0.69,0
17,20.51,-0.57,0.69,0
17,23.02,1.28,0.69,0
17,11.02,0.05,0.69,0
17,15.63,0.55,0.69,0
17,23.61,1.05,0.69,0
17,16.9,1.19,0.69,0
17,13.93,0.31,0.69,0
17,17.34,1.15,0.69,0
17,20.98,0.21,0.69,0
17,11.2,0.9,0.69,0
17,22.12,1.03,0.69,0
17,9.47,0,0.69,0
17,18.21,0.13,0.69,0
17,22.68,-0.3,0.69,0
17,21.99,0.44,0.69,0
17,14.13,0.64,0.69,0
17,20.09,1.24,0.69,0
17,24.48,1.19,0.69,0
17,22.29,0.44,0.69,0
17,3.21,1.51,0.69,0
17,14.7,0.53,0.69,0
17,12.61,0.32,0.69,0
18,24.99,1,0.01,0
18,9.15,-0.31,0.01,0
18,19.02,1.31,0.01,0
18,21.06,0.88,0.01,0
18,18.04,0.01,0.01,0
18,11.08,1.38,0.01,0
18,7.84,-0.28,0.01,0
18,22.33,0.46,0.01,0
18,1.76,0.05,0.01,0
18,7.34,-1.07,0.01,0
18,23.83,0.76,0.01,0
18,4.78,0.46,0.01,0
18,8.76,0.1,0.01,0
18,7.83,0.17,0.01,0
18,11.71,0.06,0.01,0
18,22.99,0.49,0.01,0
18,16.86,-0.76,0.01,0
18,2.91,0.63,0.01,0
18,21.88,-1.06,0.01,0
18,6.36,-0.65,0.01,0
18,7.94,-0.12,0.01,0
18,7.94,-1.38,0.01,0
18,22.25,0.49,0.01,0
18,8.38,-1.25,0.01,0
18,18.36,0.4,0.01,0
18,12.62,0.31,0.01,0
18,14.39,-0.59,0.01,0
18,19.12,-0.01,0.01,0
18,22.35,0.01,0.01,0
18,17.67,-0.46,0.01,0
18,3.61,-1.4,0.01,0
18,7.78,-0.13,0.01,0
18,14.64,0.79,0.01,0
18,10.79,-0.25,0.01,0
18,6.15,-0.16,0.01,0
18,4.47,-0.14,0.01,0
18,3.21,-0.32,0.01,0
18,11.63,0.8,0.01,0
18,19.62,-0.14,0.01,0
19,16.03,0.38,0.33,0
19,12.93,0.86,0.33,0
19,9.73,0.07,0.33,0
19,20.93,0.78,0.33,0
19,7.05,1.51,0.33,0
19,4.46,1.02,0.33,0
19,18.4,1.18,0.33,0
19,15.33,1.2,0.33,0
19,11.54,-0.22,0.33,0
19,15.89,0.4,0.33,0
19,5.91,-0.46,0.33,0
19,23.11,0.55,0.33,0
19,5.13,0.93,0.33,0
19,9.32,-0.83,0.33,0
19,8.26,-0.92,0.33,0
19,4.76,-0.12,0.33,0
19,9.18,0.97,0.33,0
19,6.21,-0.88,0.33,0
19,14.7,0.47,0.33,0
19,15.46,1.51,0.33,0
19,2.8,-0.19,0.33,0
19,15.56,-0.54,0.33,0
19,13.45,-0.54,0.33,0
19,16.26,0.71,0.33,0
19,19.89,0.17,0.33,0
19,11.88,-1.18,0.33,0
19,2.73,0.17,0.33,0
19,4.7,0.98,0.33,0
19,1.23,1.14,0.33,0
19,15.61,0.7,0.33,0
19,24.3,1.07,0.33,0
19,2.63,1.04,0.33,0
19,22.17,0.28,0.33,0
19,10.92,-0.65,0.33,0
19,5.37,-0.18,0.33,0
19,9,0.21,0.33,0
19,13.73,0.93,0.33,0
19,19.12,0.5,0.33,0
19,23.74,0.27,0.33,0
19,4.33,-0.08,0.33,0
19,6.72,0.24,0.33,0
19,12.69,0.11,0.33,0
19,19.62,-0.12,0.33,0
19,16.6,1.3,0.33,0
19,16.57,0.21,0.33,0
19,11.47,0.35,0.33,0
19,10.28,0.04,0.33,0
20,20.63,0.7,0.43,1
20,17.08,0,0.43,1
20,5.96,-0.32,0.43,1
20,12.66,1.02,0.43,1
20,13.68,-0.27,0.43,1
20,17.7,-0.15,0.43,1
20,16.66,1.65,0.43,1
20,23.45,1.2,0.43,1
20,23.82,0.01,0.43,1
20,7.85,-0.48,0.43,1
20,18.46,1.39,0.43,1
20,22.14,1.12,0.43,1
20,21.01,0.84,0.43,1
20,23.14,1.15,0.43,1
20,7.24,0.2,0.43,1
20,22.06,0.66,0.43,1
20,4.21,-0.3,0.43,1
20,17.56,0.77,0.43,1
20,12.28,0.79,0.43,1
20,17.71,1.39,0.43,1
20,20.03,0.43,0.43,1
20,21.74,-0.11,0.43,1
20,17.16,0.98,0.43,1
20,11.37,0.85,0.43,1
20,6.8,-0.19,0.43,1
20,23.16,-0.6,0.43,1
20,14.32,0.56,0.43,1
20,3.51,0.18,0.43,1
20,10.98,-0.12,0.43,1
20,13.02,0.63,0.43,1
20,7.96,-0.44,0.43,1
20,8.78,0.2,0.43,1
20,7.16,1,0.43,1
20,17.54,0.57,0.43,1
20,4.79,0.18,0.43,1
20,14.15,0.48,0.43,1
20,19.6,-0.07,0.43,1
20,16.84,-0.35,0.43,1
20,17.84,-0.91,0.43,1
20,6.08,0.77,0.43,1
20,11.21,0.7,0.43,1
20,12.5,0.93,0.43,1
20,23.53,0.93,0.43,1
20,18.2,-0.47,0.43,1
20,16.35,-0.12,0.43,1
20,20.63,0.79,0.43,1
20,24.71,0.2,0.43,1
20,21.01,0.21,0.43,1
20,21.89,0.14,0.43,1
20,22.16,0.11,0.43,1
20,8.44,-0.37,0.43,1
20,9.8,0.78,0.43,1
20,23.96,1.18,0.43,1
20,16.76,1.12,0.43,1
20,16.3,1.2,0.43,1
20,19.2,0.68,0.43,1
20,11.46,0.8,0.43,1
20,20.3,1.03,0.43,1
20,14.85,0.24,0.43,1
20,2.96,-0.22,0.43,1
21,3.47,-0.72,-0.76,1
21,4.26,1.76,-0.76,1
21,6.33,-1.26,-0.76,1
21,10.31,-0.68,-0.76,1
21,4.1,-0.71,-0.76,1
21,10.24,-0.6,-0.76,1
21,8.09,-1.15,-0.76,1
21,6.93,-0.8,-0.76,1
21,20.91,-1.38,-0.76,1
21,3.52,-0.4,-0.76,1
21,13.64,-0.55,-0.76,1
21,12.87,-0.95,-0.76,1
21,8.64,-0.14,-0.76,1
21,5.25,-1.2,-0.76,1
21,15.78,-1.01,-0.76,1
21,10.37,-0.86,-0.76,1
21,3.24,-0.47,-0.76,1
21,4.78,-0.68,-0.76,1
